34,30,73,30,32,15,26,71,64,70,8,51,53,63,31,73,69,46,57,53,62,71,90,78,53,24,2,44,20,69,28,34,68,77,50,49,6,89,36,45,84,16,39,86,4,90,59,51,47,19,42,87,98,50,23,25,69,68,37,27,61,86,92,77,60,14,50,6,5,31,33,30,90,77,39,12,35,92,31,38,8,91,15,38,91,13,19,84,46,67,85,58,12,51,67,55,28,99,23,48
54,62,89,19,25,24,31,53,83,12,72,91,56,6,61,30,22,14,19,44,37,1,46,20,51,1,65,61,16,55,85,22,66,92,55,29,66,32,39,70,17,38,61,35,87,65,27,12,86,85,80,12,3,51,89,16,22,10,44,46,53,95,82,33,76,5,75,37,4,87,86,53,58,90,37,41,61,58,53,34,18,45,91,84,97,63,64,40,58,16,92,96,3,40,49,32,19,37,61,41
12,35,50,81,33,89,92,73,55,55,29,0,6,20,12,83,79,21,68,52,99,44,87,58,36,22,51,52,98,72,18,9,22,58,98,56,40,2,36,80,93,31,5,5,73,19,75,73,78,7,99,72,1,56,65,10,54,28,37,85,96,29,97,25,99,9,81,4,74,56,9,2,79,44,36,86,33,31,38,85,45,94,16,20,62,37,5,61,50,90,2,48,23,30,11,2,23,80,13,17
16,73,29,72,28,94,43,26,2,77,38,58,33,44,14,40,51,20,99,32,84,68,89,97,3,86,63,95,83,41,58,68,3,49,4,0,74,24,45,9,87,11,43,32,33,50,54,11,31,22,21,78,27,16,68,52,81,91,63,28,31,39,93,3,42,88,55,7,89,74,99,86,9,79,27,83,4,89,18,28,14,15,12,74,25,67,63,18,39,96,36,88,88,49,8,69,20,19,38,4
66,41,93,58,95,4,73,46,79,45,40,59,7,23,38,7,95,12,87,52,29,14,75,1,53,3,34,28,39,1,74,45,19,95,5,64,91,21,88,7,4,3,68,32,55,71,3,28,80,74,88,19,70,57,53,35,31,41,63,83,1,19,85,70,3,49,16,26,25,99,22,31,71,55,29,13,15,66,97,96,13,77,79,12,11,94,13,5,48,10,94,77,41,26,57,50,76,32,61,3
70,56,1,55,63,48,55,29,28,39,98,71,79,72,35,99,37,2,88,8,76,97,37,87,38,98,4,53,42,22,52,73,22,43,33,7,8,13,56,53,37,44,71,57,88,89,66,28,74,71,81,69,77,100,87,31,4,69,44,7,94,39,50,50,89,66,32,58,87,29,29,61,67,67,59,24,68,39,98,78,38,1,72,18,22,58,55,20,51,59,22,80,32,76,15,10,13,39,94,42
100,88,86,100,58,23,28,49,87,51,73,40,55,76,41,12,29,50,9,85,7,6,46,41,64,93,32,91,27,83,52,85,24,60,37,56,54,45,26,96,29,35,96,92,44,39,30,75,78,8,82,18,72,50,1,91,47,78,15,49,54,68,25,70,56,44,91,70,20,82,24,55,2,58,26,69,89,45,39,14,23,70,65,62,71,44,7,95,50,9,97,32,4,23,89,41,98,20,46,97
99,42,6,71,11,95,20,62,29,92,11,75,61,71,1,67,48,57,91,99,88,66,63,20,63,31,66,100,14,65,24,39,21,40,90,45,60,48,44,33,88,39,91,24,16,61,19,62,59,65,81,11,99,18,57,21,91,90,9,49,94,47,27,32,100,29,15,72,82,77,55,0,30,56,41,20,97,4,42,20,96,83,69,92,15,69,7,54,65,73,100,4,89,57,61,13,54,66,40,52
84,31,21,22,21,24,93,82,55,91,6,68,10,31,59,71,95,93,21,52,18,60,99,2,2,95,29,15,71,97,18,75,99,67,10,2,64,31,99,95,23,82,80,66,90,61,4,71,89,77,11,51,2,34,77,86,39,60,88,53,7,6,92,64,49,18,14,2,64,47,70,82,89,97,76,63,20,91,3,66,87,50,65,35,10,48,11,33,52,71,42,72,0,73,31,95,13,88,63,28
66,79,59,26,54,3,75,31,30,66,25,22,19,17,11,96,89,50,73,35,21,3,48,12,28,14,56,35,35,67,53,43,73,11,15,51,83,33,55,7,51,73,24,30,76,4,67,45,41,71,34,52,51,45,64,90,77,93,22,59,54,73,17,25,13,24,68,60,60,38,42,43,32,27,82,18,27,13,36,44,50,82,69,73,16,20,37,9,47,19,36,37,59,41,26,76,97,70,15,14
87,4,92,58,74,2,54,17,10,22,8,33,9,4,67,26,93,37,37,62,1,46,93,63,24,35,82,91,47,54,7,27,76,27,2,35,67,94,92,68,71,13,7,50,4,63,8,31,39,58,67,95,29,67,97,91,99,52,68,78,25,19,82,63,63,0,60,26,60,22,68,7,67,35,6,46,21,52,51,0,83,64,25,99,78,28,91,52,95,26,59,83,77,56,11,18,2,26,95,99
